1	2	3	4	5	6	7	8	9	10	11	12
2.1216	0.9026	0.5852	0.3303	0.2255	0.1334	0.0379	0.0447	0.039	0.049	0.0489	0.0498
1.7659	0.7545	0.428	0.3961	0.1657	0.1167	0.1684	0.152	0.2215	0.2071	0.2695	0.3201
1.9154	0.7866	0.4183	0.2416	0.1628	0.11	0.9102	0.6865	0.804	0.9022	0.9006	0.9678
0.665	0.4151	0.2925	0.2083	0.1694	0.1261	0.8269	0.4114	0.3666	0.3897	0.3502	0.3954
0.6539	0.4098	0.3029	0.2162	0.1623	0.1378	0.3784	0.4008	0.412	0.3978	0.396	0.39
0.6843	0.3934	0.3279	0.2536	0.1791	0.1415	0.376	0.3782	0.3813	0.4137	0.4649	0.411
0.7148	0.4678	0.2918	0.2298	0.1713	0.1323	0.4039	0.4239	0.4377	0.4206	0.4437	0.4407
0.2733	0.1615	0.1124	0.0889	0.0757	0.0629	0.1624	0.197	0.1499	0.1562	0.1691	0.1909
