1	2	3	4	5	6	7	8	9	10	11	12
0.1787	0.1861	0.1749	0.1945	1.5241	0.7752	0.4194	0.2725	1.5943	0.7402	0.399	0.2518
0.18	0.2004	0.1611	0.2196	0.1108	0.1324	0.0862	0.0962	0.1493	0.1384	0.122	0.128
1.1275	0.9743	0.9161	1.335	0.8053	0.8741	0.9523	0.9331	0.9579	0.7731	0.7915	0.9971
1.0427	0.7569	0.7037	0.7592	0.7266	0.7468	0.7842	0.7479	0.7784	0.5952	0.6731	0.8548
0.4186	0.2663	0.3215	0.3716	0.2875	0.2817	0.2606	0.2844	0.3498	0.2953	0.37	0.2758
0.4423	0.4435	0.378	0.4274	0.337	0.3492	0.3356	0.3384	0.3998	0.3353	0.3546	0.3915
0.217	0.2125	0.1627	0.1922	0.1094	0.1399	0.1232	0.1026	0.15	0.1218	0.1533	0.1517
0.2244	0.738	0.1666	0.1931	0.1345	0.1416	0.1341	0.1166	0.1531	0.1451	0.1407	0.1238
