1	2	3	4	5	6	7	8	9	10	11	12
0.061	0.0585	0.0622	0.0631	1.5301	0.6518	0.3117	0.1695	1.341	0.5849	0.3052	0.1866
0.1458	0.0794	0.0637	0.0596	0.1363	0.0799	0.0646	0.0641	0.1297	0.0789	0.0712	0.0777
0.9473	0.7975	0.7284	0.6933	0.9425	0.7161	0.7215	0.79	0.849	0.7204	0.7865	0.894
0.8999	0.6615	0.5616	0.6079	0.7173	0.543	0.5852	0.6063	0.6774	0.5352	0.3291	0.7807
0.4856	0.3846	0.3473	0.292	0.4393	0.3202	0.3721	0.317	0.3574	0.3516	0.3726	0.3519
0.5098	0.4924	0.4628	0.4655	0.4773	0.4842	0.4628	0.4519	0.4809	0.4224	0.4377	0.4119
0.1218	0.0799	0.063	0.0601	0.1185	0.0754	0.0638	0.0614	0.106	0.0735	0.0656	0.0676
0.1533	0.2947	0.0629	0.0549	0.1171	0.0732	0.062	0.0589	0.0998	0.0755	0.0677	0.0732
