1	2	3	4	5	6	7	8	9	10	11	12
0.0657	0.0558	0.0579	0.0542	1.548	0.8082	0.3878	0.2181	1.4099	0.723	0.3749	0.1809
0.0848	0.0614	0.0572	0.0565	0.0855	0.0613	0.057	0.0604	0.082	0.0594	0.0578	0.0662
1.2681	0.8931	0.9459	0.876	0.9764	0.8745	0.8451	0.9108	0.959	0.8707	0.932	1.1576
1.1124	0.8147	0.7894	0.8331	0.8963	0.7721	0.7672	0.8118	0.8505	0.7184	0.8456	0.9727
0.366	0.2715	0.2491	0.3058	0.3027	0.2554	0.246	0.2531	0.2966	0.2588	0.2879	0.3576
0.4069	0.4032	0.3623	0.3663	0.3118	0.3973	0.3791	0.3402	0.3694	0.404	0.3855	0.361
0.0892	0.0682	0.0642	0.0607	0.0846	0.071	0.0648	0.0606	0.0798	0.0644	0.0628	0.0675
0.0855	0.3728	0.0613	0.0566	0.0846	0.0693	0.0604	0.0552	0.0834	0.0607	0.0655	0.075
