1	2	3	4	5	6	7	8	9	10	11	12
0.094	0.0743	0.0855	0.063	1.2706	0.6269	0.2986	0.1524	1.4474	0.6433	0.324	0.1963
0.092	0.0732	0.0711	0.0703	0.0739	0.0645	0.0717	0.0883	0.0681	0.0874	0.0727	0.098
1.1234	0.8112	0.8497	0.7538	0.8623	0.7652	0.7607	0.7759	0.813	0.6724	0.6252	0.8237
0.9419	0.6802	0.7211	0.7574	0.8495	0.6415	0.6321	0.7256	0.7522	0.5925	0.5423	0.7205
0.4904	0.3186	0.3264	0.3011	0.3389	0.2967	0.2987	0.3291	0.3333	0.2931	0.2612	0.3176
0.4869	0.4528	0.4903	0.4757	0.4384	0.4233	0.4227	0.4204	0.3641	0.3704	0.3304	0.3645
0.0719	0.07	0.0649	0.0631	0.0698	0.0676	0.0651	0.0694	0.0687	0.0734	0.0725	0.0949
0.066	0.3034	0.0621	0.0718	0.0817	0.0713	0.0707	0.0852	0.0719	0.0776	0.0576	0.0993
