1	2	3	4	5	6	7	8	9	10	11	12
0.0643	0.0572	0.0536	0.0561	1.2714	0.5816	0.2913	0.143	1.3143	0.5867	0.2883	0.1605
0.0736	0.068	0.0751	0.0677	0.0751	0.0697	0.0696	0.066	0.0777	0.0708	0.0674	0.0746
0.8368	0.8392	0.9181	0.8029	1.0273	0.8404	0.9007	0.857	0.9333	1.0034	0.9575	1.0109
0.7981	0.7293	0.4544	0.7298	0.8415	0.7159	0.9227	0.6682	0.8303	0.8453	0.8847	0.9245
0.2961	0.2544	0.2879	0.2775	0.3303	0.2302	0.3198	0.2584	0.3455	0.3217	0.2637	0.2631
0.3478	0.3733	0.1962	0.3236	0.426	0.3204	0.3693	0.3245	0.3943	0.3593	0.3031	0.3237
0.0619	0.052	0.058	0.0575	0.0629	0.0677	0.0599	0.0715	0.2256	0.0574	0.0616	0.0533
0.065	0.2867	0.0614	0.0635	0.0737	0.077	0.066	0.0669	0.0674	0.0624	0.0439	0.0711
