1	2	3	4	5	6	7	8	9	10	11	12
0.0516	0.0451	0.0463	0.0457	1.7599	0.9128	0.4851	0.2193	1.7696	0.9197	0.5	0.1898
0.2081	0.2027	0.2349	0.2119	0.1783	0.1345	0.7495	0.4142	0.1968	0.2141	0.124	0.1922
0.2257	0.319	0.5309	0.3197	0.2389	0.2309	0.1988	0.1368	0.1201	0.1179	0.1281	0.1456
0.1542	0.222	0.323	0.1712	0.1368	0.1581	0.1598	0.1084	0.0974	0.1153	0.1293	0.1651
0.1617	0.1966	0.1848	0.1934	0.3032	0.2289	0.3046	0.1764	0.126	0.1267	0.2048	0.2142
0.1687	0.1868	0.1792	0.1888	0.2952	0.2237	0.3207	0.1876	0.1433	0.109	0.1984	0.2196
0.1619	0.2024	0.1874	0.1952	0.2855	0.2377	0.3189	0.1649	0.1302	0.1028	0.1836	0.1846
0.1897	0.2175	0.2155	0.2314	0.2864	0.2401	0.3292	0.208	0.1501	0.1297	0.2119	0.2214
