1	2	3	4	5	6	7	8	9	10	11	12
0.0462	0.0456	0.0473	0.0467	2.0234	1.0093	0.42	0.2069	1.8469	0.9487	0.4705	0.2313
0.1904	0.1604	0.1729	0.1704	0.1377	0.112	0.0634	0.0669	0.0671	0.0654	0.0653	0.0582
0.2719	0.346	0.3845	0.36	0.2927	0.2456	0.0875	0.1195	0.1141	0.1092	0.0878	0.0791
0.1372	0.1579	0.1511	0.1719	0.1286	0.1162	0.0651	0.0745	0.0736	0.101	0.0681	0.065
0.1806	0.2226	0.255	0.2583	0.3843	0.3228	0.0663	0.0699	0.0711	0.0799	0.0904	0.0866
0.2148	0.2398	0.2851	0.2658	0.3431	0.3725	0.0749	0.0846	0.0775	0.0737	0.0895	0.0966
0.2121	0.2492	0.2715	0.2549	0.3372	0.3231	0.0695	0.0735	0.0724	0.0721	0.1119	0.0953
0.2064	0.2544	0.2678	0.2664	0.3739	0.3537	0.0698	0.0796	0.0782	0.0782	0.1067	0.0924
