1	2	3	4	5	6	7	8	9	10	11	12
0.045	0.0446	0.0466	0.0484	2.1043	1.084	0.571	0.3404	2.1592	1.0638	0.5522	0.2741
0.225	0.1586	0.2421	0.2156	0.1997	0.1419	0.3443	0.1722	0.1201	0.0961	0.1725	0.198
0.54	0.3818	0.4191	0.3704	0.3619	0.3234	0.539	0.2754	0.1768	0.1284	0.1951	0.2283
0.1694	0.1853	0.1826	0.1972	0.1654	0.1673	0.2439	0.139	0.1059	0.0942	0.1708	0.2921
0.2808	0.2635	0.2442	0.2455	0.3919	0.3736	0.6325	0.3471	0.205	0.1197	0.3712	0.4142
0.2455	0.2636	0.2309	0.2265	0.3468	0.3254	0.6275	0.3634	0.197	0.1236	0.3675	0.4134
0.268	0.2484	0.261	0.2447	0.3886	0.3797	0.5499	0.3391	0.1838	0.1112	0.3226	0.3554
0.2411	0.2614	0.2388	0.255	0.3857	0.345	0.5319	0.3321	0.1847	0.1076	0.2984	0.346
