1	2	3	4	5	6	7	8	9	10	11	12
0.0455	0.0451	0.0458	0.0455	1.8205	1.0305	0.5147	0.2349	2.0965	1.0681	0.55	0.2486
0.1887	0.1546	0.1744	0.1689	0.1649	0.1373	0.3168	0.1692	0.1079	0.0833	0.1477	0.1597
0.287	0.3586	0.3535	0.3338	0.304	0.2979	0.3334	0.1985	0.1433	0.1207	0.1511	0.1531
0.1494	0.1651	0.1785	0.1899	0.15	0.1549	0.2556	0.1422	0.1043	0.0986	0.1677	0.2791
0.2397	0.2344	0.2135	0.2145	0.3459	0.3316	0.3747	0.181	0.1291	0.0904	0.2611	0.2947
0.2369	0.2147	0.2104	0.2168	0.3601	0.3213	0.4059	0.183	0.1259	0.0944	0.2856	0.3061
0.2247	0.222	0.2565	0.2519	0.3444	0.3364	0.3779	0.1783	0.1215	0.0916	0.2689	0.2769
0.2009	0.2238	0.2322	0.2239	0.3326	0.3135	0.3864	0.1871	0.1336	0.0957	0.2872	0.2971
