1	2	3	4	5	6	7	8	9	10	11	12
0.0465	0.0456	0.0481	0.0474	1.9785	0.9523	0.4985	0.2462	2.0147	1.0161	0.4638	0.2463
0.1675	0.1181	0.1542	0.1592	0.1509	0.1087	0.0648	0.0646	0.0664	0.068	0.0654	0.0609
0.2688	0.2884	0.3314	0.3588	0.3392	0.2758	0.0818	0.1118	0.1127	0.1119	0.0935	0.079
0.1244	0.1497	0.143	0.1629	0.1233	0.1256	0.0639	0.0701	0.0729	0.0757	0.0665	0.0662
0.1897	0.2009	0.226	0.2255	0.42	0.4087	0.1036	0.0793	0.0787	0.0754	0.1071	0.1114
0.1863	0.1993	0.2194	0.2265	0.347	0.3177	0.0898	0.0659	0.0659	0.0647	0.0925	0.093
0.1882	0.216	0.2539	0.238	0.3733	0.3513	0.0932	0.0736	0.0695	0.0679	0.0989	0.1078
0.1977	0.2318	0.2609	0.262	0.346	0.3376	0.0933	0.0746	0.0783	0.0741	0.1016	0.1165
