1	2	3	4	5	6	7	8	9	10	11	12
0.0443	0.0455	0.0449	0.0456	1.7219	0.8787	0.4587	0.251	1.885	0.9418	0.4064	0.2139
0.1645	0.1619	0.1616	0.1675	0.1437	0.2937	0.3385	0.2386	0.1134	0.079	0.1407	0.1726
0.2386	0.3747	0.3713	0.3457	0.3024	0.3023	0.3157	0.2026	0.1409	0.1104	0.1709	0.1637
0.121	0.1592	0.166	0.1601	0.1262	0.1283	0.2957	0.1664	0.1081	0.0903	0.1758	0.2674
0.2107	0.2222	0.2075	0.2304	0.2991	0.2703	0.59	0.2866	0.1428	0.0964	0.2501	0.3143
0.2128	0.2387	0.2197	0.209	0.3097	0.2799	0.6225	0.3232	0.1822	0.1161	0.283	0.3151
0.2024	0.2139	0.2203	0.2126	0.3281	0.2688	0.5613	0.2725	0.1521	0.1023	0.2561	0.3059
0.2026	0.2208	0.2121	0.2345	0.2915	0.285	0.5353	0.2634	0.1748	0.0978	0.2613	0.3072
