1	2	3	4	5	6	7	8	9	10	11	12
2.7254	2.5749	2.5488	2.3281	2.0823	1.903	1.4955	1.1562	0.8198	0.6198	0.3751	0.2818
0.2079	0.2403	0.2594	0.2918	0.3229	0.3469	0.3706	0.4055	0.4174	0.4345	0.4425	0.8668
0.7308	0.7896	0.7942	0.7644	0.7673	0.7787	0.7392	0.8191	0.823	0.8223	0.8045	0.8664
0.1244	0.1275	0.138	0.1302	0.1344	0.1256	0.1285	0.1293	0.1257	0.1227	0.1288	0.1283
0.258	0.2653	0.2742	0.2848	0.2944	0.2694	0.2674	0.2726	0.2791	0.2738	0.2778	0.278
0.2873	0.2845	0.2902	0.2829	0.2779	0.2763	0.2863	0.2903	0.287	0.3039	0.2749	0.2801
0.2878	0.2986	0.3238	0.3331	0.3135	0.3223	0.3226	0.3492	0.3331	0.2994	0.2957	0.2874
0.3049	0.3133	0.3573	0.3283	0.3332	0.3563	0.3632	0.3124	0.3083	0.3162	0.3273	0.271
