1	2	3	4	5	6	7	8	9	10	11	12
2.9176	2.7386	2.6693	2.4357	2.0687	1.9617	1.2838	0.9934	0.6248	0.391	0.2681	0.1953
0.2185	0.2524	0.2959	0.3309	0.3663	0.4023	0.4377	0.44	0.4439	0.4845	0.515	0.9648
0.8828	0.8672	0.8128	0.89	0.8561	0.8694	0.8557	0.8066	0.8559	0.8505	0.8519	0.9853
0.1318	0.1275	0.1313	0.1249	0.1326	0.1349	0.1289	0.1367	0.1347	0.1341	0.1331	0.1342
0.3977	0.402	0.4336	0.4605	0.4241	0.4711	0.4659	0.4801	0.4706	0.4723	0.4699	0.5164
0.4824	0.4866	0.5086	0.4974	0.4909	0.4714	0.4718	0.4648	0.5037	0.4744	0.478	0.5015
0.4604	3.7986	0.521	0.5456	0.519	0.4945	0.557	0.5429	0.5268	0.5486	0.5352	0.5624
0.5559	0.5751	0.583	0.5414	0.5674	0.5673	0.5834	0.5626	0.6184	0.5626	0.6163	0.559
