1	2	3	4	5	6	7	8	9	10	11	12
2.3873	2.6828	2.4961	2.3228	1.898	1.5492	1.1536	0.795	0.5108	0.3369	0.2131	0.1748
0.1894	0.2395	0.2762	0.3173	0.3538	0.401	0.4182	0.4276	0.4482	0.4809	0.5329	0.844
0.7272	0.6467	0.5973	0.778	0.7873	0.7846	0.7833	0.8072	0.8044	0.809	0.8034	0.8681
0.1167	0.1237	0.12	0.13	0.1309	0.1245	0.1198	0.1232	0.1135	0.1176	0.1154	0.112
0.2637	0.2988	0.2957	0.31	0.3378	0.3143	0.3385	0.317	0.322	0.3138	0.3543	0.3377
0.3088	0.3192	0.2341	0.3142	0.3176	0.3507	0.34	0.3381	0.3277	0.2319	0.3192	0.315
0.251	0.3263	0.3315	0.334	0.3509	0.3841	0.3561	0.3594	0.3594	0.3732	0.3332	0.3647
0.3834	0.379	0.419	0.3977	0.3807	0.3748	0.3947	0.374	0.3511	0.3398	0.3786	0.4255
