1	2	3	4	5	6	7	8	9	10	11	12
2.9652	2.5678	2.4111	2.2973	1.9278	1.7242	1.3884	1.0134	0.6491	0.4719	0.2691	0.2096
0.2182	0.2467	0.2915	0.3284	0.3627	0.3886	0.3974	0.427	0.4372	0.4688	0.5112	0.9115
0.8891	0.8891	0.8751	0.9103	0.8747	0.8932	0.8473	0.8383	0.848	0.846	0.8621	0.9438
0.117	0.1206	0.122	0.1205	0.1295	0.1229	0.1267	0.1238	0.1211	0.1205	0.1286	0.1354
0.3066	0.3415	0.3277	0.3616	0.374	0.3601	0.3641	0.3581	0.3291	0.3556	0.363	0.3259
0.3819	0.3738	0.3506	0.3654	0.3425	0.3444	0.3178	0.3314	0.35	0.3211	0.3194	0.3749
0.3041	0.4137	0.3451	0.3471	0.3326	0.3975	0.3299	0.3441	0.3313	0.3068	0.3765	0.314
0.4263	0.4721	0.4465	0.4047	0.3749	0.3817	0.3998	0.4025	0.4217	0.398	0.4131	0.2644
