1	2	3	4	5	6	7	8	9	10	11	12
0.0564	0.0483	0.049	0.0511	1.2964	0.6418	0.4376	0.1366	1.2507	0.5259	0.2478	0.1137
0.0782	0.0637	0.0512	0.0517	0.0845	0.063	0.0573	0.0507	0.087	0.061	0.0523	0.0483
0.0938	0.1045	0.0973	0.0957	0.0988	0.0977	0.1009	0.1024	0.0936	0.0965	0.0942	0.0727
0.08	0.1016	0.0952	0.097	0.0967	0.0945	0.1	0.0972	0.0954	0.1001	0.0987	0.0731
0.0593	0.0957	0.0814	0.0818	0.0829	0.0823	0.0837	0.0823	0.0828	0.085	0.0784	0.0567
0.0671	0.0895	0.0862	0.0886	0.0886	0.089	0.0891	0.0838	0.0864	0.0818	0.0768	0.0502
0.0511	0.0525	0.056	0.0538	0.0504	0.0529	0.0527	0.0531	0.0511	0.0525	0.0508	0.0499
0.0527	0.0478	0.0516	0.0509	0.0522	0.0503	0.0486	0.052	0.051	0.0503	0.0473	0.0496
