1	2	3	4	5	6	7	8	9	10	11	12
0.0971	0.0947	0.0907	0.0748	1.0968	0.5102	0.2315	0.1424	0.8037	0.3274	0.1805	0.0916
0.1243	0.1223	0.0896	0.0947	0.1459	0.1229	0.1157	0.1106	0.1531	0.1209	0.129	0.139
0.2101	0.1891	0.1701	0.1796	0.2308	0.1797	0.1812	0.1621	0.2367	0.1981	0.1538	0.1531
0.1617	0.1638	0.1585	0.1643	0.2299	0.1747	0.1625	0.1629	0.2052	0.1699	0.1679	0.1801
0.1409	0.1292	0.1121	0.1094	0.1627	0.1353	0.1193	0.1171	0.1578	0.1304	0.1268	0.1571
0.1337	0.1234	0.1177	0.1321	0.1793	0.1516	0.145	0.1233	0.1751	0.1667	0.1486	0.1885
0.1085	0.1133	0.1171	0.1113	0.153	0.1256	0.1161	0.1086	0.1358	0.1142	0.1348	0.1501
0.0986	0.1149	0.1003	0.1072	0.1456	0.1241	0.1414	0.1317	0.1529	0.1572	0.1569	0.1713
