1	2	3	4	5	6	7	8	9	10	11	12
1.0745	0.06	0.0569	0.0578	1.1361	0.5427	0.2369	0.1119	0.9278	0.3682	0.1764	0.0832
0.0578	0.0524	0.0511	0.0509	0.0557	0.0527	0.0517	0.0528	0.0535	0.0512	0.0496	0.052
0.1464	0.059	0.0625	0.0697	0.0672	0.0694	0.0682	0.0629	0.066	0.0596	0.0591	0.0552
0.0808	0.0787	0.0767	0.0635	0.0708	0.0652	0.0685	0.0587	0.0626	0.0606	0.0609	0.0542
0.0675	0.0819	0.1613	0.0506	0.0562	0.0539	0.0519	0.0505	0.056	0.0587	0.0515	0.1838
0.0819	0.0803	0.0568	0.0555	0.0594	0.0588	0.0567	0.0553	0.0585	0.0598	0.0607	0.0636
0.0693	0.0637	0.0567	0.0535	0.0565	0.0608	0.0554	0.0533	0.0572	0.0573	0.0577	0.0535
0.0919	0.0822	0.071	0.0697	0.1239	0.0714	0.0675	0.0662	0.0806	0.071	0.0665	0.0682
