1	2	3	4	5	6	7	8	9	10	11	12
0.0531	0.0592	0.058	0.0604	0.8256	0.3279	0.1679	0.0865	0.5833	0.2279	0.115	0.071
0.0705	0.0643	0.0622	0.0604	0.0803	0.0632	0.0591	0.0571	0.0762	0.0644	0.0508	0.0613
0.0817	0.068	0.0699	0.0585	0.0751	0.0715	0.0672	0.0682	0.0912	0.0745	0.0688	0.0695
0.0794	0.065	0.0657	0.0578	0.0807	0.0595	0.0586	0.0597	0.0775	0.0707	0.0579	0.0609
0.0705	0.0591	0.053	0.0448	0.0722	0.0598	0.0548	0.0529	0.0711	0.0584	0.0543	0.0524
0.0631	0.057	0.0563	0.0536	0.067	0.0561	0.0545	0.0534	0.0686	0.0555	0.0549	0.0594
0.0625	0.057	0.0583	0.0561	0.0714	0.0619	0.0579	0.0621	0.0741	0.067	0.0647	0.0644
0.0856	0.0706	0.0785	0.0974	0.0828	0.0787	0.0747	0.0736	0.0853	0.0795	0.0758	0.0725
