1	2	3	4	5	6	7	8	9	10	11	12
0.0466	0.0484	0.0473	0.0487	1.1218	0.5233	0.2594	0.1315	0.8834	0.4136	0.1833	0.0828
0.5622	0.3128	0.1543	0.0844	0.6388	0.2714	0.1482	0.0893	0.5368	0.2582	0.1145	0.0639
0.2958	0.2837	0.1974	0.1433	0.3529	0.2938	0.2055	0.1442	0.3511	0.1793	0.109	0.0729
0.3127	0.3044	0.2	0.1354	0.3706	0.3018	0.2018	0.1439	0.3574	0.2424	0.111	0.085
0.5887	0.3874	0.2026	0.1177	0.6917	0.338	0.2037	0.1326	0.6475	0.2977	0.1565	0.0714
0.3431	0.2319	0.1524	0.1097	0.4241	0.2267	0.1486	0.107	0.3451	0.1956	0.1019	0.0685
0.1634	0.1112	0.0713	0.0593	0.1768	0.096	0.0758	0.0599	0.1526	0.0851	0.0612	0.0889
0.1419	0.0725	0.0628	0.0522	0.1381	0.0747	0.0597	0.0527	0.1415	0.0702	0.0566	0.057
