1	2	3	4	5	6	7	8	9	10	11	12
0.0576	0.063	0.0524	0.0523	1.316	0.5798	0.3041	0.1408	1.1991	0.585	0.2937	0.1575
0.0632	0.0648	0.052	0.0518	0.0549	0.053	0.0529	0.0549	0.0565	0.0539	0.0536	0.0951
0.1238	0.4996	0.6795	0.5108	0.6028	0.4457	0.524	0.5299	0.6452	0.4007	0.1459	0.096
0.1155	0.465	0.5703	0.4787	0.6072	0.3768	0.4661	0.3883	0.4278	0.3584	0.196	0.0847
0.0654	0.2658	0.242	0.2655	0.3177	0.1941	0.2464	0.2666	0.317	0.235	0.1013	0.0702
0.1101	0.398	0.4903	0.4573	0.4446	0.4116	0.4289	0.4166	0.4385	0.3313	0.0895	0.1189
0.0647	0.0602	0.0608	0.0622	0.0686	0.0796	0.0569	0.0565	0.0824	0.058	0.0554	0.0635
0.1023	0.0725	0.093	0.0711	0.0594	0.0591	0.0625	0.0623	0.0608	0.0703	0.0616	0.0777
