1	2	3	4	5	6	7	8	9	10	11	12
0.0667	0.0561	0.0579	0.0558	1.3863	0.648	0.3387	0.1695	1.3196	0.5938	0.3351	0.2095
0.0659	0.0605	0.0637	0.0572	0.0629	0.0595	0.0745	0.0562	0.0595	0.0575	0.0594	0.0969
0.1511	0.1434	0.1404	0.1377	0.1406	0.1358	0.1272	0.1313	0.1453	0.1291	0.1294	0.1449
0.1479	0.1479	0.1483	0.1437	0.1423	0.13	0.1272	0.1303	0.1378	0.1279	0.1336	0.1609
0.1521	0.1285	0.1302	0.1284	0.1361	0.149	0.1332	0.1356	0.1458	0.1381	0.134	0.1694
0.1177	0.1103	0.1161	0.1177	0.1128	0.1112	0.1123	0.1106	0.1218	0.1156	0.1227	0.1345
0.0651	0.0616	0.0608	0.0561	0.0603	0.0605	0.0576	0.0583	0.0581	0.0578	0.0732	0.0911
0.0737	0.2917	0.0633	0.0698	0.0702	0.0694	0.0623	0.0656	0.0604	0.0663	0.0591	0.0758
