1	2	3	4	5	6	7	8	9	10	11	12
0.0763	0.0906	0.0766	0.0793	1.7051	0.7311	0.3573	0.1625	1.529	0.6383	0.3612	0.1832
0.1512	0.0905	0.0747	0.0669	0.1473	0.0967	0.0755	0.0655	0.1303	0.0918	0.0747	0.0818
0.1456	0.1145	0.1346	0.1254	0.1309	0.1107	0.1152	0.1291	0.1139	0.121	0.1233	0.1836
0.1278	0.1145	0.138	0.1182	0.1267	0.1289	0.1226	0.1217	0.1315	0.1131	0.1183	0.1699
0.1501	0.1331	0.1713	0.1474	0.1457	0.1278	0.1557	0.1653	0.1383	0.1538	0.1421	0.1687
0.1246	0.1172	0.1386	0.118	0.1164	0.1121	0.118	0.1201	0.1132	0.1496	0.1182	0.1317
0.0815	0.0877	0.136	0.0635	0.0683	0.0651	0.0643	0.0712	0.0674	0.0699	0.064	0.0851
0.1202	0.2379	0.0785	0.0708	0.0605	0.0921	0.0656	0.0797	0.0629	0.0577	0.0544	0.078
