1	2	3	4	5	6	7	8	9	10	11	12
0.064	0.0616	0.061	0.0573	2.0922	1.1821	0.5838	0.2751	2.0267	1.2134	0.6198	0.2866
0.1324	0.1072	0.071	0.0828	0.1356	0.0818	0.0703	0.0749	0.1428	0.0817	0.0672	0.0696
0.2501	0.2656	0.1969	0.1582	0.2746	0.2505	0.2742	0.2627	0.2579	0.1976	0.1954	0.2002
0.3099	0.2823	0.2047	0.2331	0.2692	0.203	0.2023	0.2066	0.2459	0.2069	0.2027	0.2031
0.4562	0.4211	0.4398	0.469	0.4315	0.4394	0.4267	0.4615	0.4487	0.462	0.4769	0.4448
0.4825	0.5316	0.46	0.433	0.5082	0.5818	0.4337	0.3884	0.4893	0.5608	0.4538	0.4243
0.134	0.0851	0.0687	0.0899	0.1489	0.0996	0.0912	0.0763	0.1212	0.0855	0.0832	0.0781
0.1362	0.0987	0.0773	0.0668	0.1395	0.0976	0.0818	0.0723	0.1205	0.0836	0.0773	0.0764
