1	2	3	4	5	6	7	8	9	10	11	12
0.0834	0.0917	0.0757	0.0852	1.9469	1.0805	0.6311	0.2218	1.9851	1.1256	0.532	0.2228
0.096	0.091	0.0651	0.062	0.0908	0.0662	0.0757	0.0701	0.0955	0.071	0.0718	0.0692
0.3118	0.2407	0.2186	0.2118	0.2854	0.2252	0.2617	0.2142	0.2866	0.2079	0.1975	0.2055
0.321	0.2743	0.2132	0.2419	0.2986	0.2218	0.2195	0.216	0.2713	0.2076	0.1936	0.2005
0.5023	0.5447	0.5406	0.5562	0.51	0.5696	0.518	0.564	0.4647	0.513	0.4874	0.4448
0.5886	0.5183	0.5117	0.5469	0.6301	0.5567	0.4673	0.4653	0.5633	0.4858	0.442	0.4387
0.0983	0.088	0.0735	0.0885	0.1036	0.0848	0.0787	0.0699	0.089	0.072	0.0733	0.0759
0.1044	0.0957	0.08	0.067	0.1176	0.0763	0.0835	0.0759	0.0908	0.0783	0.0788	0.0803
