1	2	3	4	5	6	7	8	9	10	11	12
0.0897	0.0842	0.077	0.095	2.0636	1.0456	0.5004	0.2468	1.9256	1.0914	0.5044	0.2325
0.1736	0.1047	0.0913	0.0993	0.1811	0.1022	0.0847	0.108	0.1909	0.1249	0.1117	0.0916
0.449	0.3063	0.2543	0.1969	0.4263	0.2549	0.2226	0.1852	0.4005	0.2463	0.1892	0.1642
0.4318	0.2909	0.2141	0.2015	0.4064	0.2592	0.2198	0.1976	0.4269	0.2595	0.1868	0.1701
0.5982	0.5014	0.4758	0.4658	0.5619	0.493	0.4459	0.5354	0.6058	0.5457	0.4923	0.4218
0.6316	0.4725	0.4164	0.3927	0.6203	0.4753	0.3827	0.3683	0.5901	0.4606	0.49	0.3741
0.3058	0.166	0.1103	0.0961	0.3082	0.1447	0.1137	0.1041	0.3144	0.1488	0.1183	0.0942
0.2044	0.1325	0.0953	0.0897	0.1863	0.1246	0.1202	0.0993	0.1899	0.1148	0.1206	0.0923
