1	2	3	4	5	6	7	8	9	10	11	12
0.0551	0.05	0.0521	0.0504	1.8513	1.029	0.5628	0.2746	1.8188	1.0041	0.5331	0.2539
0.3209	0.1957	0.1057	0.0718	0.3403	0.1871	0.1159	0.0729	0.3425	0.1901	0.1154	0.0722
0.9802	0.7076	0.3875	0.216	0.9927	0.7048	0.3913	0.1989	0.9581	0.6699	0.4221	0.2199
0.9814	0.7061	0.4012	0.2069	0.9988	0.6918	0.3929	0.1978	0.9904	0.7048	0.4012	0.2153
0.9524	0.7021	0.3945	0.2109	1.0135	0.6797	0.3917	0.2132	0.99	0.661	0.4149	0.2214
1.3339	0.9912	0.5665	0.2684	1.3386	0.944	0.5392	0.2825	1.4001	0.9752	0.5734	0.294
0.6096	0.3165	0.1654	0.092	0.6483	0.3012	0.1644	0.0955	0.5702	0.2894	0.1596	0.0989
0.3686	0.2418	0.1363	0.0791	0.3616	0.2224	0.1252	0.0842	0.322	0.244	0.1182	0.0943
