1	2	3	4	5	6	7	8	9	10	11	12
0.0491	0.0492	0.0483	0.055	1.8965	1.0871	0.5034	0.22	1.829	1.0914	0.5268	0.2506
0.2209	0.1072	0.0672	0.0515	0.2179	0.0987	0.066	0.054	0.2199	0.1025	0.0665	0.0556
0.4629	0.2482	0.1225	0.0802	0.4504	0.24	0.1249	0.08	0.5082	0.2229	0.1146	0.0804
0.5029	0.2511	0.1295	0.0849	0.5184	0.2297	0.1243	0.0799	0.4797	0.2305	0.1217	0.0857
0.7843	0.4009	0.2251	0.1398	0.7583	0.383	0.2056	0.1302	0.7444	0.3863	0.2004	0.1266
0.4238	0.2544	0.134	0.0912	0.4582	0.2233	0.1185	0.0871	0.4244	0.2133	0.1226	0.0941
0.3863	0.1809	0.0938	0.0696	0.3623	0.1724	0.0896	0.0637	0.3703	0.1606	0.1128	0.0725
0.3649	0.1577	0.0907	0.0632	0.3536	0.1532	0.093	0.0628	0.3433	0.159	0.0947	0.0716
