1	2	3	4	5	6	7	8	9	10	11	12
0.0721	0.0735	0.0745	0.0693	1.8561	0.9727	0.4561	0.2439	1.9121	0.9697	0.5018	0.248
0.3614	0.1689	0.1089	0.0798	0.3318	0.1718	0.1136	0.0913	0.3329	0.1892	0.1094	0.0918
0.8297	0.533	0.2934	0.1611	0.8658	0.5481	0.2962	0.176	0.884	0.567	0.2964	0.1909
0.8632	0.5229	0.2767	0.154	0.8161	0.5194	0.2899	0.1645	0.8681	0.5519	0.2876	0.1813
0.9297	0.5807	0.3248	0.1972	0.9604	0.5628	0.3215	0.1751	0.9084	0.5328	0.3117	0.1942
0.7948	0.5069	0.2797	0.1657	0.9121	0.5015	0.2676	0.1684	0.8026	0.4984	0.2783	0.166
0.7173	0.3808	0.1961	0.1247	0.7385	0.3488	0.181	0.11	0.6857	0.3495	0.1835	0.1198
0.4019	0.2435	0.1323	0.1013	0.4346	0.2451	0.1477	0.109	0.3882	0.2337	0.1442	0.123
