1	2	3	4	5	6	7	8	9	10	11	12
2.3128	2.3087	2.0796	2.2241	2.1083	1.7839	1.4328	1.0788	0.7079	0.5322	0.4026	0.0673
0.1816	0.2659	0.2799	0.3671	0.3865	0.4658	0.4884	0.5277	0.6332	0.6134	0.6564	0.731
0.6668	0.7269	0.6709	0.6969	0.7008	0.7411	0.704	0.6478	0.6729	0.6957	0.716	0.7466
0.0581	0.0584	0.0591	0.0604	0.0545	0.0596	0.062	0.0605	0.0623	0.0646	0.0724	0.0707
0.2763	0.2627	0.2591	0.2488	0.2247	0.2406	0.2741	0.2763	0.2776	0.2601	0.2854	0.2802
0.1864	0.2737	0.2974	0.2681	0.2534	0.2372	0.2704	0.286	0.2807	0.2866	0.2688	0.2728
0.2532	0.2237	0.2805	0.2661	0.2709	0.2561	0.2989	0.2821	0.2983	0.2733	0.2635	0.2914
0.2852	0.2985	0.2673	0.2197	0.1969	0.1665	0.3033	0.2785	0.2709	0.2676	0.2708	0.2757
